fare_id,route_id,origin_id,destination_id
1,1203,1,241
1,1203,1,241
1,1203,1,245
1,1203,1,245
1,1203,1,245
1,1203,1,245
1,1203,1,245
1,1203,1,245
1,1203,1,245
1,1203,1,245
1,1203,1,245
1,1203,1,245
1,1203,1,245
1,1203,1,245
1,1203,1,245
1,1203,1,245
1,1203,1,245
1,1203,1,274
1,1203,1,274
1,1203,1,274
1,1203,1,274
1,1203,1,274
1,1203,1,274
1,1203,1,274
1,1203,1,274
1,1203,1,274
1,1203,1,331
1,1203,1,331
1,1203,1,331
1,1203,1,331
1,1203,1,331
1,1203,1,331
1,1203,1,331
1,1203,1,331
1,1203,1,331
1,1203,1,331
1,1203,1,331
1,1203,1,331
1,1203,1,331
1,1203,1,331
1,1203,1,331
1,1203,1,377
1,1203,1,377
1,1203,1,421
1,1203,1,421
1,1203,1,421
1,1203,1,421
1,1203,1,421
1,1203,1,421
1,1203,1,421
1,1203,1,421
1,1203,1,421
1,1203,1,421
1,1203,1,421
1,1203,1,421
1,1203,1,421
1,1203,1,421
1,1203,1,421
1,1203,1,450
1,1203,1,450
1,1203,1,450
1,1203,1,450
1,1203,1,450
1,1203,1,450
1,1203,1,450
1,1203,1,450
1,1203,1,450
1,1203,1,450
1,1203,1,450
1,1203,1,450
1,1203,1,450
1,1203,1,450
1,1203,1,450
1,1203,235,283
1,1203,235,283
1,1203,235,283
1,1203,235,283
1,1203,235,283
1,1203,235,283
1,1203,235,283
1,1203,235,283
1,1203,235,283
1,1203,235,283
1,1203,235,283
1,1203,235,283
1,1203,235,283
1,1203,235,283
1,1203,235,283
1,1203,235,298
1,1203,235,298
1,1203,235,298
1,1203,235,298
1,1203,235,298
1,1203,235,298
1,1203,235,298
1,1203,235,298
1,1203,235,298
1,1203,235,298
1,1203,235,298
1,1203,235,298
1,1203,235,298
1,1203,235,298
1,1203,235,298
1,1203,235,367
1,1203,235,367
1,1203,235,367
1,1203,235,367
1,1203,235,367
1,1203,235,367
1,1203,235,367
1,1203,235,367
1,1203,235,367
1,1203,235,367
1,1203,235,367
1,1203,235,367
1,1203,235,367
1,1203,235,367
1,1203,235,367
1,1203,245,241
1,1203,245,241
1,1203,245,274
1,1203,245,274
1,1203,245,274
1,1203,245,274
1,1203,245,274
1,1203,245,274
1,1203,245,274
1,1203,245,274
1,1203,245,274
1,1203,245,377
1,1203,245,377
1,1203,245,421
1,1203,245,421
1,1203,245,421
1,1203,245,421
1,1203,245,421
1,1203,245,421
1,1203,245,421
1,1203,245,421
1,1203,245,421
1,1203,245,421
1,1203,245,421
1,1203,245,421
1,1203,245,421
1,1203,245,421
1,1203,245,421
1,1203,250,299
1,1203,250,299
1,1203,250,299
1,1203,250,299
1,1203,250,299
1,1203,250,299
1,1203,250,299
1,1203,250,299
1,1203,250,299
1,1203,250,299
1,1203,250,299
1,1203,250,299
1,1203,250,299
1,1203,250,299
1,1203,250,299
1,1203,250,339
1,1203,250,339
1,1203,250,339
1,1203,250,339
1,1203,250,339
1,1203,250,339
1,1203,250,339
1,1203,250,339
1,1203,250,339
1,1203,250,339
1,1203,250,339
1,1203,250,339
1,1203,250,339
1,1203,250,339
1,1203,250,339
1,1203,250,343
1,1203,250,343
1,1203,250,343
1,1203,250,343
1,1203,250,343
1,1203,250,343
1,1203,250,343
1,1203,250,343
1,1203,250,343
1,1203,250,343
1,1203,250,343
1,1203,250,343
